name,injury date,return date,days missed,injury type,age,height,weight,reinjured
Norman Powell,15 March 2018,18 March 2018,3,0,25,6-4,215,0
Anthony Davis,09 March 2018,11 March 2018,2,0,25,6-10,253,0
Russell Westbrook,08 February 2018,13 February 2018,5,0,30,6-3,200,1
Dejounte Murray,09 February 2018,12 February 2018,3,0,22,6-5,170,0
Harrison Barnes,05 February 2018,10 February 2018,5,0,26,6-8,210,0
Johnathan Motley,08 February 2018,10 February 2018,2,0,23,6-9,238,0
Marvin Williams,31 January 2018,08 February 2018,8,0,32,6-9,237,0
Marquese Chriss,29 January 2018,31 January 2018,2,0,21,6-10,233,1
Tyler Johnson,17 January 2018,27 January 2018,10,0,26,6-4,186,0
DeAndre Jordan,13 January 2018,24 January 2018,11,0,30,6-11,265,0
Brandon Ingram,19 January 2018,21 January 2018,2,0,21,6-9,190,1
Derrick Rose,09 November 2017,18 January 2018,70,0,29,6-3,190,0
Marco Belinelli,12 January 2018,15 January 2018,3,0,32,6-5,210,0
Bojan Bogdanovic,06 January 2018,08 January 2018,2,0,29,6-8,216,0
Mike Muscala,02 December 2017,02 January 2018,31,0,26,6-11,240,0
Andre Roberson,11 December 2017,15 December 2017,4,0,26,6-7,210,0
Nikola Jokic,02 December 2017,13 December 2017,11,0,22,6-10,250,0
Frank Ntilikina,29 November 2017,03 December 2017,4,0,19,6-5,190,0
Kevin Durant,24 November 2017,29 November 2017,5,0,29,6-9,240,0
Kevin Durant,19 November 2017,22 November 2017,3,0,29,6-9,240,1
Mike Muscala,06 November 2017,18 November 2017,12,0,26,6-11,240,1
JaMychal Green,21 October 2017,14 November 2017,24,0,27,6-9,227,0
Kristaps Porzingis,08 November 2017,11 November 2017,3,0,22,7-3,240,0
Jonas Valanciunas,23 October 2017,01 November 2017,9,0,25,7-0,265,0
Derrick Rose,21 October 2017,29 October 2017,8,0,29,6-3,190,1
Dennis Schroder,23 October 2017,27 October 2017,4,0,24,6-1,172,0
Malcolm Brogdon,23 October 2017,26 October 2017,3,0,25,6-5,215,0
Alex Len,18 October 2017,20 October 2017,2,0,24,7-1,260,1
Kawhi Leonard,16 May 2017,22 May 2017,6,0,26,6-7,230,0
Kawhi Leonard,11 May 2017,14 May 2017,3,0,26,6-7,230,1
Chasson Randle,06 April 2017,07 April 2017,1,0,24,6-2,185,0
DeMarre Carroll,08 March 2017,10 March 2017,2,0,31,6-8,215,0
Dion Waiters,08 February 2017,13 February 2017,5,0,26,6-4,225,0
Derrick Rose,29 January 2017,06 February 2017,8,0,29,6-3,190,1
Joe Harris,23 January 2017,01 February 2017,9,0,26,6-6,219,0
Joakim Noah,18 January 2017,21 January 2017,3,0,32,6-11,230,0
Ed Davis,17 January 2017,20 January 2017,3,0,28,6-10,240,0
Nerlens Noel,16 January 2017,18 January 2017,2,0,23,6-11,228,0
Aron Baynes,01 January 2017,08 January 2017,7,0,31,6-10,260,0
Damian Lillard,26 December 2016,05 January 2017,10,0,26,6-3,195,0
Marco Belinelli,31 December 2016,04 January 2017,4,0,30,6-5,210,1
Rodney McGruder,19 December 2016,27 December 2016,8,0,25,6-4,205,0
Evan Turner,21 December 2016,26 December 2016,5,0,28,6-7,220,0
Nerlens Noel,14 December 2016,16 December 2016,2,0,22,6-11,228,1
Courtney Lee,02 December 2016,06 December 2016,4,0,31,6-5,200,0
Joakim Noah,30 November 2016,04 December 2016,4,0,31,6-11,230,1
Jae Crowder,03 November 2016,19 November 2016,16,0,26,6-6,235,0
Rajon Rondo,15 November 2016,19 November 2016,4,0,30,6-1,186,0
Goran Dragic,11 November 2016,17 November 2016,6,0,30,6-3,190,0
Paul George,12 November 2016,14 November 2016,2,0,26,6-9,220,0
Patrick McCaw,30 October 2016,07 November 2016,8,0,21,6-7,185,0
Lance Thomas,04 November 2016,06 November 2016,2,0,28,6-8,235,0
Marcus Smart,26 October 2016,02 November 2016,7,0,22,6-4,220,0
Nicolas Batum,23 April 2016,27 April 2016,4,0,28,6-8,200,0
Justise Winslow,12 April 2016,13 April 2016,1,0,20,6-7,225,0
Andre Iguodala,14 March 2016,05 April 2016,22,0,32,6-6,215,0
Marvin Williams,22 March 2016,25 March 2016,3,0,30,6-9,237,0
James Johnson,02 February 2016,19 February 2016,17,0,29,6-9,250,0
Noah Vonleh,04 February 2016,10 February 2016,6,0,21,6-10,240,0
Ish Smith,06 February 2016,08 February 2016,2,0,28,6-0,175,0
Rudy Gay,07 February 2016,08 February 2016,1,0,30,6-8,230,0
DeMarcus Cousins,30 January 2016,03 February 2016,4,0,26,6-11,270,0
Dwight Howard,21 January 2016,27 January 2016,6,0,31,6-11,265,0
Ian Mahinmi,22 January 2016,26 January 2016,4,0,30,6-11,250,0
Patrick Beverley,20 January 2016,24 January 2016,4,0,28,6-1,185,0
Danilo Gallinari,22 December 2015,02 January 2016,11,0,27,6-10,225,0
