name,injury date,return date,days missed,injury type,age,height,weight,reinjured
Emmanuel Mudiay,08 August 2020,09 August 2020,1,2,24,6-5,200,1
Kemba Walker,21 February 2020,03 March 2020,11,2,30,6-1,172,0
Terry Rozier,12 February 2020,20 February 2020,8,2,26,6-2,190,0
Brandon Knight,07 February 2020,10 February 2020,3,2,29,6-3,189,0
Kemba Walker,01 February 2020,07 February 2020,6,2,30,6-1,172,1
Brandon Knight,17 January 2020,04 February 2020,18,2,29,6-3,189,1
Al Horford,30 January 2020,01 February 2020,2,2,34,6-10,245,1
Kemba Walker,18 January 2020,20 January 2020,2,2,30,6-1,172,1
Domantas Sabonis,10 January 2020,13 January 2020,3,2,24,6-11,240,0
Joel Embiid,31 December 2019,02 January 2020,2,2,25,7-0,250,0
Blake Griffin,20 December 2019,23 December 2019,3,2,30,6-10,251,0
Derrick Rose,21 December 2019,23 December 2019,2,2,31,6-3,190,0
Blake Griffin,16 December 2019,18 December 2019,2,2,30,6-10,251,1
Al Horford,13 December 2019,15 December 2019,2,2,33,6-10,245,1
Patrick McCaw,21 October 2019,28 October 2019,7,2,24,6-7,185,0
Blake Griffin,10 April 2019,20 April 2019,10,2,30,6-10,251,1
Joel Embiid,18 April 2019,20 April 2019,2,2,25,7-0,250,1
Al Horford,09 April 2019,14 April 2019,5,2,33,6-10,245,1
Joel Embiid,09 April 2019,13 April 2019,4,2,25,7-0,250,1
Draymond Green,10 April 2019,12 April 2019,2,2,29,6-7,230,0
Blake Griffin,01 April 2019,05 April 2019,4,2,30,6-10,251,1
Rodney McGruder,18 March 2019,03 April 2019,16,2,28,6-4,205,0
Al Horford,30 March 2019,01 April 2019,2,2,33,6-10,245,1
Al Horford,23 March 2019,26 March 2019,3,2,33,6-10,245,1
Joel Embiid,21 February 2019,10 March 2019,17,2,25,7-0,250,1
Evan Turner,23 February 2019,05 March 2019,10,2,31,6-7,220,0
Terry Rozier,27 February 2019,01 March 2019,2,2,25,6-2,190,1
Jeff Teague,27 February 2019,28 February 2019,1,2,31,6-2,186,0
Kawhi Leonard,13 February 2019,22 February 2019,9,2,28,6-7,230,0
DeMarre Carroll,11 February 2019,13 February 2019,2,2,33,6-8,215,0
JaMychal Green,07 February 2019,09 February 2019,2,2,29,6-9,227,0
Kawhi Leonard,07 February 2019,09 February 2019,2,2,28,6-7,230,1
Mike Conley,01 February 2019,03 February 2019,2,2,32,6-1,175,0
JaMychal Green,28 January 2019,30 January 2019,2,2,29,6-9,227,1
Brandon Knight,16 January 2019,21 January 2019,5,2,28,6-3,189,1
Jamal Crawford,15 January 2019,20 January 2019,5,2,39,6-5,200,0
DeMarre Carroll,07 January 2019,09 January 2019,2,2,33,6-8,215,1
Dewayne Dedmon,29 December 2018,02 January 2019,4,2,29,7-0,245,0
Joel Embiid,30 December 2018,01 January 2019,2,2,24,7-0,250,1
Jamal Crawford,26 December 2018,28 December 2018,2,2,38,6-5,200,1
Al Horford,10 December 2018,23 December 2018,13,2,32,6-10,245,1
Matthew Dellavedova,19 December 2018,21 December 2018,2,2,28,6-4,198,0
Jamal Crawford,10 December 2018,13 December 2018,3,2,38,6-5,200,1
Al Horford,23 November 2018,24 November 2018,1,2,32,6-10,245,1
Derrick Rose,14 November 2018,16 November 2018,2,2,30,6-3,190,0
Derrick Favors,28 October 2018,31 October 2018,3,2,27,6-10,265,0
Andre Iguodala,08 April 2018,14 April 2018,6,2,34,6-6,215,0
Andre Iguodala,31 March 2018,07 April 2018,7,2,34,6-6,215,1
Derrick Favors,20 March 2018,22 March 2018,2,2,27,6-10,265,1
James Harden,11 March 2018,12 March 2018,1,2,29,6-5,220,0
Kyrie Irving,05 March 2018,08 March 2018,3,2,26,6-3,193,0
Cody Zeller,28 February 2018,04 March 2018,4,2,26,7-0,240,0
Lonzo Ball,24 February 2018,26 February 2018,2,2,21,6-6,190,0
Paul George,29 December 2017,31 December 2017,2,2,27,6-9,220,0
J.R. Smith,21 December 2017,25 December 2017,4,2,32,6-6,225,0
Kristaps Porzingis,16 December 2017,21 December 2017,5,2,22,7-3,240,0
Serge Ibaka,17 December 2017,20 December 2017,3,2,28,6-10,235,0
Andre Iguodala,01 December 2017,04 December 2017,3,2,33,6-6,215,1
Andre Iguodala,16 May 2017,20 May 2017,4,2,33,6-6,215,1
Doug McDermott,11 April 2017,16 April 2017,5,2,25,6-8,225,0
Carmelo Anthony,07 April 2017,12 April 2017,5,2,33,6-8,240,0
Derrick Favors,10 April 2017,12 April 2017,2,2,26,6-10,265,1
Andre Roberson,07 April 2017,09 April 2017,2,2,26,6-7,210,0
Paul Millsap,07 April 2017,09 April 2017,2,2,32,6-8,246,0
D'Angelo Russell,05 April 2017,07 April 2017,2,2,21,6-5,195,0
P.J. Tucker,02 April 2017,04 April 2017,2,2,32,6-6,245,0
Carmelo Anthony,25 March 2017,27 March 2017,2,2,33,6-8,240,1
Nerlens Noel,10 March 2017,15 March 2017,5,2,23,6-11,228,0
Carmelo Anthony,06 March 2017,08 March 2017,2,2,33,6-8,240,1
JaMychal Green,25 January 2017,27 January 2017,2,2,27,6-9,227,0
Patrick Patterson,20 January 2017,22 January 2017,2,2,28,6-9,230,0
Derrick Favors,17 November 2016,14 December 2016,27,2,25,6-10,265,1
D'Angelo Russell,22 November 2016,11 December 2016,19,2,20,6-5,195,1
D'Angelo Russell,18 November 2016,20 November 2016,2,2,20,6-5,195,1
Derrick Favors,24 October 2016,28 October 2016,4,2,25,6-10,265,1
Carmelo Anthony,05 February 2016,07 February 2016,2,2,32,6-8,240,0
Kemba Walker,03 February 2016,05 February 2016,2,2,26,6-1,172,0
Carmelo Anthony,25 January 2016,29 January 2016,4,2,32,6-8,240,1
Lance Thomas,19 January 2016,26 January 2016,7,2,28,6-8,235,0
Spencer Dinwiddie,25 November 2015,27 November 2015,2,2,22,6-6,200,0
Eric Bledsoe,23 November 2015,25 November 2015,2,2,26,6-1,205,0
Joakim Noah,09 November 2015,13 November 2015,4,2,30,6-11,230,0
Joakim Noah,15 April 2015,18 April 2015,3,2,30,6-11,230,1
Carmelo Anthony,24 January 2015,28 January 2015,4,2,31,6-8,240,1
Carmelo Anthony,04 January 2015,15 January 2015,11,2,31,6-8,240,1
Carmelo Anthony,18 December 2014,20 December 2014,2,2,30,6-8,240,1
Carmelo Anthony,10 December 2014,12 December 2014,2,2,30,6-8,240,1
LeBron James,11 December 2014,12 December 2014,1,2,30,6-8,250,0
Kyle Lowry,02 April 2014,09 April 2014,7,2,28,6-0,205,0
Dion Waiters,31 March 2013,10 April 2013,10,2,22,6-4,225,0
Kawhi Leonard,03 April 2013,04 April 2013,1,2,22,6-7,230,0
Taj Gibson,02 March 2013,21 March 2013,19,2,28,6-9,225,0
Terrence Ross,21 March 2021,30 March 2021,9,3,30,6-7,206,0
Hassan Whiteside,25 March 2021,26 March 2021,1,3,32,7-0,265,0
Abdel Nader,15 March 2021,18 March 2021,3,3,28,6-6,230,0
Timothe Luwawu-Cabarrot,01 March 2021,15 March 2021,14,3,26,6-6,205,0
Malcolm Brogdon,27 February 2021,01 March 2021,2,3,29,6-5,215,0
Davis Bertans,25 February 2021,27 February 2021,2,3,29,6-10,210,0
Richaun Holmes,15 February 2021,21 February 2021,6,3,28,6-10,245,0
Doug McDermott,15 February 2021,17 February 2021,2,3,29,6-8,225,0
Patrick Beverley,25 January 2021,10 February 2021,16,3,33,6-1,185,0
Joel Embiid,15 January 2021,19 January 2021,4,3,27,7-0,250,0
Mike Conley,12 August 2020,21 August 2020,9,3,33,6-1,175,0
Anthony Davis,13 August 2020,18 August 2020,5,3,27,6-10,253,0
Bam Adebayo,14 August 2020,18 August 2020,4,3,23,6-10,243,0
OG Anunoby,12 August 2020,17 August 2020,5,3,23,6-8,232,0
Eric Bledsoe,11 August 2020,12 August 2020,1,3,31,6-1,205,0
Jerami Grant,10 August 2020,12 August 2020,2,3,26,6-8,210,0
Doug McDermott,06 August 2020,08 August 2020,2,3,28,6-8,225,1
Mike Conley,06 August 2020,08 August 2020,2,3,33,6-1,175,1
Mike Scott,01 August 2020,07 August 2020,6,3,32,6-8,237,0
Dwight Howard,05 August 2020,06 August 2020,1,3,35,6-11,265,0
Frank Kaminsky,01 January 2020,31 July 2020,212,3,27,7-0,242,0
Eric Gordon,07 March 2020,10 March 2020,3,3,32,6-4,215,0
Victor Oladipo,02 March 2020,06 March 2020,4,3,28,6-4,210,0
Serge Ibaka,28 February 2020,05 March 2020,6,3,31,6-10,235,0
Anthony Davis,01 March 2020,03 March 2020,2,3,27,6-10,253,1
Davis Bertans,24 February 2020,26 February 2020,2,3,28,6-10,210,1
Tyler Johnson,03 February 2020,11 February 2020,8,3,28,6-4,186,0
Derrick Rose,27 January 2020,29 January 2020,2,3,32,6-3,190,0
Jae Crowder,26 January 2020,29 January 2020,3,3,30,6-6,235,0
Kristaps Porzingis,31 December 2019,21 January 2020,21,3,24,7-3,240,0
Brandon Ingram,13 January 2020,16 January 2020,3,3,23,6-9,190,0
Jayson Tatum,15 January 2020,16 January 2020,1,3,22,6-8,205,0
Daniel Theis,13 January 2020,15 January 2020,2,3,28,6-9,215,0
Eric Gordon,09 January 2020,11 January 2020,2,3,32,6-4,215,1
Ersan Ilyasova,10 January 2020,11 January 2020,1,3,33,6-10,235,0
Marvin Williams,08 December 2019,17 December 2019,9,3,33,6-9,237,0
Brandon Ingram,11 November 2019,19 November 2019,8,3,22,6-9,190,1
Dwayne Bacon,13 November 2019,16 November 2019,3,3,24,6-6,222,0
Terrence Ross,06 November 2019,10 November 2019,4,3,28,6-7,206,0
Derrick Favors,28 October 2019,04 November 2019,7,3,28,6-10,265,0
Kadeem Allen,23 October 2019,01 November 2019,9,3,26,6-3,192,0
Kyle Korver,01 April 2019,14 April 2019,13,3,38,6-7,212,0
Klay Thompson,09 April 2019,10 April 2019,1,3,29,6-7,215,0
Furkan Korkmaz,25 February 2019,09 April 2019,43,3,22,6-7,185,0
Joakim Noah,22 March 2019,23 March 2019,1,3,34,6-11,230,0
Klay Thompson,05 March 2019,08 March 2019,3,3,29,6-7,215,1
Eric Gordon,28 February 2019,03 March 2019,3,3,31,6-4,215,1
Giannis Antetokounmpo,25 February 2019,27 February 2019,2,3,25,6-11,222,0
Furkan Korkmaz,13 February 2019,21 February 2019,8,3,22,6-7,185,1
Giannis Antetokounmpo,09 February 2019,11 February 2019,2,3,25,6-11,222,1
Eric Gordon,04 February 2019,06 February 2019,2,3,31,6-4,215,1
Damian Lillard,26 January 2019,30 January 2019,4,3,29,6-3,195,0
David Nwaba,30 November 2018,12 December 2018,12,3,25,6-4,209,0
Victor Oladipo,19 November 2018,12 December 2018,23,3,26,6-4,210,0
Robert Covington,08 December 2018,10 December 2018,2,3,28,6-9,215,0
Maxi Kleber,02 December 2018,04 December 2018,2,3,26,6-10,220,0
David Nwaba,26 November 2018,28 November 2018,2,3,25,6-4,209,1
Ersan Ilyasova,26 November 2018,28 November 2018,2,3,31,6-10,235,0
Serge Ibaka,14 November 2018,16 November 2018,2,3,29,6-10,235,0
Tyus Jones,23 April 2018,25 April 2018,2,3,22,6-2,195,0
Goran Dragic,11 April 2018,14 April 2018,3,3,32,6-3,190,0
LaMarcus Aldridge,12 March 2018,13 March 2018,1,3,33,6-11,260,0
LaMarcus Aldridge,12 February 2018,23 February 2018,11,3,33,6-11,260,1
Ben McLemore,26 January 2018,31 January 2018,5,3,25,6-5,195,0
Jimmy Butler,20 January 2018,27 January 2018,7,3,29,6-8,236,0
Giannis Antetokounmpo,20 January 2018,26 January 2018,6,3,24,6-11,222,0
Victor Oladipo,27 December 2017,06 January 2018,10,3,25,6-4,210,1
Jaylen Brown,27 December 2017,31 December 2017,4,3,21,6-7,225,0
JaMychal Green,23 December 2017,30 December 2017,7,3,27,6-9,227,0
Giannis Antetokounmpo,23 December 2017,26 December 2017,3,3,23,6-11,222,1
Ian Mahinmi,12 December 2017,15 December 2017,3,3,31,6-11,250,0
Giannis Antetokounmpo,22 November 2017,25 November 2017,3,3,23,6-11,222,1
Thabo Sefolosha,17 November 2017,18 November 2017,1,3,33,6-7,220,0
Patrick Beverley,10 November 2017,17 November 2017,7,3,29,6-1,185,0
Rodney Hood,09 April 2017,12 April 2017,3,3,25,6-8,206,0
Derrick Favors,08 March 2017,07 April 2017,30,3,26,6-10,265,0
Rodney Hood,04 April 2017,07 April 2017,3,3,25,6-8,206,1
Jahlil Okafor,20 March 2017,22 March 2017,2,3,22,6-11,275,0
Rodney Hood,16 March 2017,20 March 2017,4,3,25,6-8,206,1
Robert Covington,12 March 2017,14 March 2017,2,3,27,6-9,215,0
Jahlil Okafor,04 March 2017,09 March 2017,5,3,22,6-11,275,1
Rodney Hood,01 March 2017,05 March 2017,4,3,25,6-8,206,1
Caris LeVert,05 February 2017,08 February 2017,3,3,23,6-7,203,0
Ian Mahinmi,28 November 2016,08 February 2017,72,3,30,6-11,250,1
LaMarcus Aldridge,02 February 2017,04 February 2017,2,3,32,6-11,260,1
Jahlil Okafor,24 January 2017,30 January 2017,6,3,22,6-11,275,1
Kent Bazemore,07 December 2016,13 December 2016,6,3,27,6-5,201,0
Blake Griffin,10 December 2016,12 December 2016,2,3,27,6-10,251,0
Zach LaVine,13 November 2016,15 November 2016,2,3,21,6-5,189,0
Derrick Favors,01 April 2016,03 April 2016,2,3,25,6-10,265,1
Hassan Whiteside,04 January 2016,06 January 2016,2,3,27,7-0,265,0
Doug McDermott,28 December 2015,30 December 2015,2,3,23,6-8,225,0
Nerlens Noel,27 November 2015,01 December 2015,4,3,21,6-11,228,0
Carmelo Anthony,14 March 2013,20 March 2013,6,3,29,6-8,240,0
Carmelo Anthony,06 March 2013,11 March 2013,5,3,29,6-8,240,1
Eric Bledsoe,01 February 2012,11 February 2012,10,3,23,6-1,205,0
Alex Caruso,13 March 2021,18 March 2021,5,5,27,6-5,186,0
Nicolas Batum,15 February 2021,19 February 2021,4,5,33,6-8,200,0
Mike Muscala,07 February 2021,10 February 2021,3,5,30,6-11,240,0
Donovan Mitchell,27 January 2021,31 January 2021,4,5,25,6-3,211,0
Robert Covington,29 January 2021,30 January 2021,1,5,31,6-9,215,0
Abdel Nader,22 December 2020,05 January 2021,14,5,27,6-6,230,0
Blake Griffin,31 December 2020,03 January 2021,3,5,31,6-10,251,0
Mike Muscala,04 August 2020,08 August 2020,4,5,29,6-11,240,1
Jae Crowder,07 March 2020,11 March 2020,4,5,30,6-6,235,0
Josh Richardson,03 March 2020,10 March 2020,7,5,27,6-6,200,0
T.J. Warren,03 February 2020,08 February 2020,5,5,27,6-8,230,0
Malcolm Brogdon,24 January 2020,29 January 2020,5,5,28,6-5,215,0
Patrick Beverley,13 December 2019,17 December 2019,4,5,31,6-1,185,0
Justise Winslow,07 November 2019,27 November 2019,20,5,23,6-7,225,0
Clint Capela,15 November 2019,18 November 2019,3,5,25,6-10,240,0
Jonathan Isaac,10 April 2019,13 April 2019,3,5,22,6-10,210,0
OG Anunoby,28 March 2019,05 April 2019,8,5,22,6-8,232,0
Gordon Hayward,18 March 2019,24 March 2019,6,5,29,6-8,226,0
Ante Zizic,03 March 2019,08 March 2019,5,5,22,6-11,250,0
Andre Drummond,19 January 2019,25 January 2019,6,5,26,6-11,279,0
Nerlens Noel,10 January 2019,17 January 2019,7,5,25,6-11,228,0
Ersan Ilyasova,01 December 2018,07 December 2018,6,5,31,6-10,235,0
Davis Bertans,19 November 2018,21 November 2018,2,5,26,6-10,210,0
Markieff Morris,30 October 2018,02 November 2018,3,5,29,6-10,245,0
Giannis Antetokounmpo,29 October 2018,01 November 2018,3,5,24,6-11,222,0
Troy Daniels,19 October 2018,22 October 2018,3,5,27,6-4,205,0
Kevin Love,26 May 2018,31 May 2018,5,5,30,6-10,251,0
Ian Mahinmi,06 April 2018,10 April 2018,4,5,32,6-11,250,0
Kevin Love,28 March 2018,30 March 2018,2,5,30,6-10,251,1
Tony Bradley,13 March 2018,27 March 2018,14,5,20,6-11,240,0
Jaylen Brown,11 March 2018,25 March 2018,14,5,22,6-7,225,0
Aaron Gordon,09 March 2018,19 March 2018,10,5,23,6-9,220,0
Terrance Ferguson,10 March 2018,12 March 2018,2,5,20,6-7,184,0
Kris Dunn,20 January 2018,14 February 2018,25,5,24,6-4,210,0
Al Horford,24 January 2018,27 January 2018,3,5,32,6-10,245,0
Jamal Murray,17 January 2018,19 January 2018,2,5,21,6-4,207,0
Raul Neto,13 December 2017,15 January 2018,33,5,25,6-1,179,0
Blake Griffin,08 January 2018,11 January 2018,3,5,29,6-10,251,0
Derrick Favors,18 December 2017,20 December 2017,2,5,26,6-10,265,0
Steven Adams,16 December 2017,20 December 2017,4,5,24,7-0,255,0
Austin Rivers,15 December 2017,18 December 2017,3,5,25,6-4,200,0
Aaron Gordon,13 December 2017,15 December 2017,2,5,22,6-9,220,1
Patrick McCaw,08 December 2017,11 December 2017,3,5,22,6-7,185,0
Al Horford,08 November 2017,12 November 2017,4,5,31,6-10,245,1
Myles Turner,20 October 2017,03 November 2017,14,5,21,6-11,243,0
Kawhi Leonard,11 March 2017,13 March 2017,2,5,26,6-7,230,0
Steven Adams,16 January 2017,23 January 2017,7,5,24,7-0,255,1
Richaun Holmes,13 January 2017,21 January 2017,8,5,24,6-10,245,0
Cody Zeller,02 January 2017,07 January 2017,5,5,25,7-0,240,0
George Hill,05 January 2017,07 January 2017,2,5,31,6-3,188,0
Richaun Holmes,23 December 2016,04 January 2017,12,5,23,6-10,245,1
Austin Rivers,11 December 2016,14 December 2016,3,5,24,6-4,200,1
Doug McDermott,15 November 2016,05 December 2016,20,5,24,6-8,225,0
Al Horford,02 November 2016,19 November 2016,17,5,30,6-10,245,1
Doug McDermott,02 November 2016,04 November 2016,2,5,24,6-8,225,1
Kevin Love,08 June 2016,10 June 2016,2,5,28,6-10,251,0
Aaron Gordon,08 April 2016,13 April 2016,5,5,21,6-9,220,0
Robert Covington,12 March 2016,23 March 2016,11,5,26,6-9,215,0
Jerami Grant,12 March 2016,17 March 2016,5,5,22,6-8,210,0
Lance Thomas,07 February 2016,09 February 2016,2,5,28,6-8,235,0
Cameron Payne,29 January 2016,01 February 2016,3,5,22,6-3,185,0
Anthony Davis,25 January 2016,30 January 2016,5,5,23,6-10,253,0
Gary Harris,03 December 2015,11 December 2015,8,5,21,6-4,210,0
Victor Oladipo,13 November 2015,18 November 2015,5,5,23,6-4,210,0
Patrick Beverley,06 November 2015,11 November 2015,5,5,27,6-1,185,0
Rudy Gay,03 April 2015,07 April 2015,4,5,29,6-8,230,0
Rodney Hood,01 April 2015,04 April 2015,3,5,23,6-8,206,0
Marvin Williams,28 January 2015,02 February 2015,5,5,29,6-9,237,0
Ersan Ilyasova,26 December 2014,15 January 2015,20,5,27,6-10,235,0
Courtney Lee,01 November 2014,05 November 2014,4,5,29,6-5,200,0
Wayne Ellington,28 October 2014,29 October 2014,1,5,27,6-4,200,0
Stephen Curry,20 November 2013,23 November 2013,3,5,25,6-3,190,0
George Hill,16 May 2013,18 May 2013,2,5,27,6-3,188,0
Michael Kidd-Gilchrist,04 February 2013,08 February 2013,4,5,20,6-7,232,0
Kyrie Irving,10 February 2012,15 February 2012,5,5,20,6-3,193,0
Ersan Ilyasova,13 March 2011,08 April 2011,26,5,24,6-10,235,0
Chris Paul,09 March 2011,12 March 2011,3,5,26,6-0,175,0
LeBron James,03 March 2021,12 March 2021,9,6,37,6-8,250,0
Draymond Green,04 March 2021,10 March 2021,6,6,31,6-7,230,0
Seth Curry,23 February 2021,25 February 2021,2,6,31,6-2,185,0
Abdel Nader,07 February 2021,13 February 2021,6,6,28,6-6,230,0
Goran Dragic,14 August 2020,18 August 2020,4,6,34,6-3,190,0
Victor Oladipo,14 August 2020,18 August 2020,4,6,28,6-4,210,0
Danilo Gallinari,28 February 2020,2 March 2020,3,6,32,6-10,225,0
Nerlens Noel,20 January 2020,22 January 2020,2,6,26,6-11,228,0
Jae Crowder,29 December 2019,2 January 2020,4,6,29,6-6,235,0
Danilo Gallinari,22 December 2019,31 December 2019,9,6,31,6-10,225,1
Jae Crowder,14 December 2019,16 December 2019,2,6,29,6-6,235,1
DeAndre Jordan,25 November 2019,29 November 2019,4,6,31,6-11,265,0
D.J. Wilson,19 May 2019,21 May 2019,2,6,23,6-10,234,0
Raul Neto,05 April 2019,14 April 2019,9,6,27,6-1,179,0
Rudy Gobert,10 April 2019,14 April 2019,4,6,27,7-1,245,0
Aron Baynes,09 April 2019,13 April 2019,4,6,33,6-10,260,0
Gordon Hayward,09 April 2019,13 April 2019,4,6,29,6-8,226,0
Danilo Gallinari,07 April 2019,10 April 2019,3,6,31,6-10,225,1
Danilo Gallinari,30 March 2019,31 March 2019,1,6,31,6-10,225,1
Danilo Gallinari,12 March 2019,15 March 2019,3,6,31,6-10,225,1
DeMar DeRozan,18 January 2019,20 January 2019,2,6,30,6-7,221,0
Joel Embiid,11 January 2019,13 January 2019,2,6,25,7-0,250,0
J.J. Barea,05 January 2019,7 January 2019,2,6,35,6-0,185,0
Derrick Rose,23 December 2018,26 December 2018,3,6,30,6-3,190,0
Gary Harris,24 November 2018,30 November 2018,6,6,24,6-4,210,0
Gordon Hayward,24 November 2018,26 November 2018,2,6,28,6-8,226,1
Myles Turner,23 November 2018,26 November 2018,3,6,22,6-11,243,0
Kawhi Leonard,04 November 2018,7 November 2018,3,6,27,6-7,230,0
Derrick Rose,04 November 2018,5 November 2018,1,6,30,6-3,190,1
Wayne Ellington,17 October 2018,27 October 2018,10,6,31,6-4,200,0
Jared Dudley,30 March 2018,6 April 2018,7,6,33,6-7,225,0
Eric Bledsoe,01 February 2018,2 February 2018,1,6,29,6-1,205,0
Rodney Hood,07 December 2017,13 December 2017,6,6,25,6-8,206,0
Rodney Hood,01 December 2017,7 December 2017,6,6,25,6-8,206,0
Aaron Gordon,20 October 2017,24 October 2017,4,6,22,6-9,220,0
DeMarre Carroll,11 March 2017,16 March 2017,5,6,31,6-8,215,0
Will Barton,01 February 2017,3 February 2017,2,6,26,6-6,175,0
Taj Gibson,29 January 2017,1 February 2017,3,6,32,6-9,225,0
Taj Gibson,17 January 2017,20 January 2017,3,6,32,6-9,225,1
Lance Thomas,14 November 2016,2 December 2016,18,6,28,6-8,235,0
Will Barton,25 November 2016,27 November 2016,2,6,25,6-6,175,1
Paul George,18 November 2016,23 November 2016,5,6,26,6-9,220,0
Nicolas Batum,13 April 2016,17 April 2016,4,6,28,6-8,200,0
Patrick Patterson,20 March 2016,25 March 2016,5,6,27,6-9,230,0
Tobias Harris,07 February 2016,19 February 2016,12,6,24,6-9,235,0
Derrick Rose,18 November 2015,24 November 2015,6,6,27,6-3,190,0
Jeff Teague,15 November 2015,21 November 2015,6,6,27,6-2,186,0
Dewayne Dedmon,27 March 2015,1 April 2015,5,6,26,7-0,245,0
Taj Gibson,01 March 2015,20 March 2015,19,6,30,6-9,225,0
Nikola Vucevic,06 March 2015,10 March 2015,4,6,25,7-0,260,0
Victor Oladipo,08 March 2014,10 March 2014,2,6,22,6-4,210,0
Bradley Beal,29 March 2013,31 March 2013,2,6,20,6-5,207,0
Wilson Chandler,11 April 2011,13 April 2011,2,6,24,6-8,225,0
Kemba Walker,27 March 2021,29 March 2021,2,7,31,6-1,172,0
Blake Griffin,24 March 2021,25 March 2021,1,7,32,6-10,251,0
Kemba Walker,22 March 2021,23 March 2021,1,7,31,6-1,172,1
Blake Griffin,10 March 2021,21 March 2021,11,7,32,6-10,251,1
Kemba Walker,17 March 2021,19 March 2021,2,7,31,6-1,172,1
Blake Griffin,14 February 2021,5 March 2021,19,7,32,6-10,251,1
Kemba Walker,24 February 2021,26 February 2021,2,7,31,6-1,172,1
Kemba Walker,17 February 2021,19 February 2021,2,7,31,6-1,172,1
Patrick McCaw,22 December 2020,19 February 2021,59,7,25,6-7,185,0
Kemba Walker,12 February 2021,14 February 2021,2,7,31,6-1,172,1
Derrick Rose,05 February 2021,9 February 2021,4,7,33,6-3,190,0
James Johnson,06 February 2021,8 February 2021,2,7,34,6-9,250,0
Kemba Walker,03 February 2021,4 February 2021,1,7,31,6-1,172,1
Blake Griffin,27 January 2021,28 January 2021,1,7,32,6-10,251,1
Kemba Walker,25 January 2021,27 January 2021,2,7,31,6-1,172,1
Pascal Siakam,24 January 2021,27 January 2021,3,7,27,6-9,230,0
Blake Griffin,23 January 2021,25 January 2021,2,7,32,6-10,251,1
Kemba Walker,23 December 2020,17 January 2021,25,7,30,6-1,172,1
Blake Griffin,27 December 2020,29 December 2020,2,7,31,6-10,251,1
Rondae Hollis-Jefferson,21 August 2020,23 August 2020,2,7,25,6-7,220,0
Kemba Walker,12 August 2020,17 August 2020,5,7,30,6-1,172,1
Kristaps Porzingis,09 August 2020,11 August 2020,2,7,25,7-3,240,0
Andre Roberson,23 October 2019,31 July 2020,282,7,28,6-7,210,0
Jonathan Isaac,03 January 2020,31 July 2020,210,7,23,6-10,210,0
D.J. Augustin,15 January 2020,21 February 2020,37,7,33,6-0,183,0
Bruno Caboclo,14 January 2020,20 February 2020,37,7,25,6-9,218,0
Seth Curry,03 February 2020,7 February 2020,4,7,30,6-2,185,0
Christian Wood,20 December 2019,23 December 2019,3,7,24,6-11,220,0
Hassan Whiteside,02 November 2019,4 November 2019,2,7,30,7-0,265,0
Evan Turner,09 March 2019,12 March 2019,3,7,31,6-7,220,0
Maxi Kleber,06 March 2019,10 March 2019,4,7,27,6-10,220,0
Josh Hart,05 February 2019,7 February 2019,2,7,24,6-5,209,0
Brandon Knight,17 October 2018,13 December 2018,57,7,27,6-3,189,0
Pat Connaughton,10 December 2018,12 December 2018,2,7,25,6-5,206,0
Ante Zizic,05 December 2018,7 December 2018,2,7,21,6-11,250,0
Dwight Powell,19 November 2018,28 November 2018,9,7,27,6-11,240,0
Bogdan Bogdanovic,17 October 2018,7 November 2018,21,7,26,6-6,205,0
Danilo Gallinari,16 March 2017,24 March 2017,8,7,29,6-10,225,0
Reggie Jackson,26 October 2016,2 December 2016,37,7,26,6-3,208,0
Mike Scott,27 October 2016,30 November 2016,34,7,28,6-8,237,0
Kevin Love,10 March 2016,13 March 2016,3,7,28,6-10,251,0
Marcus Smart,22 November 2015,27 December 2015,35,7,21,6-4,220,0
Joakim Noah,11 March 2015,13 March 2015,2,7,30,6-11,230,0
Patrick Patterson,23 February 2015,24 February 2015,1,7,26,6-9,230,0
Kemba Walker,19 January 2015,21 January 2015,2,7,25,6-1,172,0
Nicolas Batum,19 December 2014,20 December 2014,1,7,26,6-8,200,0
Ersan Ilyasova,09 March 2013,10 March 2013,1,7,26,6-10,235,0
Kawhi Leonard,23 January 2013,25 January 2013,2,7,22,6-7,230,0
Nicolas Batum,01 February 2012,4 February 2012,3,7,24,6-8,200,0
