PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
DeAndre Jordan,Knicks,24 February 2019,06 March 2019,10,Sprained Left Ankle
Jahlil Okafor,Pelicans,04 March 2019,06 March 2019,2,Sprained Left Ankle
Kevin Huerter,Hawks,22 February 2019,25 February 2019,3,Sprained Left Ankle
Tyus Jones,Timberwolves,18 January 2019,22 February 2019,35,Sprained Left Ankle
Jahlil Okafor,Pelicans,08 February 2019,12 February 2019,4,Sprained Left Ankle
Rudy Gay,Spurs,09 February 2019,12 February 2019,3,Sprained Left Ankle
Jamal Murray,Nuggets,26 January 2019,06 February 2019,11,Sprained Left Ankle
David Nwaba,Cavaliers,26 December 2018,02 February 2019,38,Sprained Left Ankle
Luke Kornet,Knicks,23 January 2019,01 February 2019,9,Sprained Left Ankle
Reggie Bullock,Pistons,29 January 2019,31 January 2019,2,Sprained Left Ankle
Kyle Anderson,Grizzlies,14 January 2019,28 January 2019,14,Sprained Left Ankle
Henry Ellenson,Pistons,21 January 2019,25 January 2019,4,Sprained Left Ankle
Dewayne Dedmon,Hawks,15 January 2019,19 January 2019,4,Sprained Left Ankle
Henry Ellenson,Pistons,12 December 2018,19 January 2019,38,Sprained Left Ankle
Frank Ntilikina,Knicks,07 January 2019,13 January 2019,6,Sprained Left Ankle
Glenn Robinson III,Pistons,11 December 2018,30 December 2018,19,Sprained Left Ankle
John Collins,Hawks,23 December 2018,26 December 2018,3,Sprained Left Ankle
Brandon Ingram,Lakers,07 December 2018,21 December 2018,14,Sprained Left Ankle
J.J. Barea,Mavericks,13 December 2018,18 December 2018,5,Sprained Left Ankle
Kyle Anderson,Grizzlies,15 December 2018,17 December 2018,2,Sprained Left Ankle
Marquese Chriss,Rockets,07 December 2018,17 December 2018,10,Sprained Left Ankle
Reggie Bullock,Pistons,05 December 2018,15 December 2018,10,Sprained Left Ankle
Aron Baynes,Celtics,10 December 2018,12 December 2018,2,Sprained Left Ankle
Aron Baynes,Celtics,08 December 2018,10 December 2018,2,Sprained Left Ankle
CJ McCollum,Blazers,06 December 2018,08 December 2018,2,Sprained Left Ankle
Terrance Ferguson,Thunder,23 November 2018,03 December 2018,10,Sprained Left Ankle
Hamidou Diallo,Thunder,23 November 2018,30 November 2018,7,Sprained Left Ankle
Avery Bradley,Clippers,05 November 2018,19 November 2018,14,Sprained Left Ankle
Russell Westbrook,Thunder,06 November 2018,17 November 2018,11,Sprained Left Ankle
Aaron Gordon,Magic,11 November 2018,12 November 2018,1,Sprained Left Ankle
Donovan Mitchell,Jazz,05 November 2018,07 November 2018,2,Sprained Left Ankle
Rodions Kurucs,Nets,24 October 2018,02 November 2018,9,Sprained Left Ankle
Marquese Chriss,Rockets,16 October 2018,30 October 2018,14,Sprained Left Ankle
Cristiano Felicio,Bulls,18 October 2018,24 October 2018,6,Sprained Left Ankle
TJ Leaf,Pacers,18 October 2018,24 October 2018,6,Sprained Left Ankle
George Hill,Cavaliers,01 April 2018,09 April 2018,8,Sprained Left Ankle
Damian Lillard,Blazers,05 April 2018,07 April 2018,2,Sprained Left Ankle
James Johnson,Heat,04 April 2018,06 April 2018,2,Sprained Left Ankle
Alex Len,Suns,28 March 2018,03 April 2018,6,Sprained Left Ankle
Chris Boucher,Warriors,27 March 2018,31 March 2018,4,Sprained Left Ankle
Domantas Sabonis,Pacers,15 March 2018,27 March 2018,12,Sprained Left Ankle
Dennis Smith Jr.,Mavericks,20 March 2018,24 March 2018,4,Sprained Left Ankle
John Collins,Hawks,19 March 2018,23 March 2018,4,Sprained Left Ankle
Myles Turner,Pacers,17 March 2018,19 March 2018,2,Sprained Left Ankle
Norman Powell,Raptors,15 March 2018,18 March 2018,3,Sprained Left Ankle
Anthony Davis,Pelicans,09 March 2018,11 March 2018,2,Sprained Left Ankle
Russell Westbrook,Thunder,08 February 2018,13 February 2018,5,Sprained Left Ankle
Dejounte Murray,Spurs,09 February 2018,12 February 2018,3,Sprained Left Ankle
Harrison Barnes,Mavericks,05 February 2018,10 February 2018,5,Sprained Left Ankle
Johnathan Motley,Mavericks,08 February 2018,10 February 2018,2,Sprained Left Ankle
Marvin Williams,Hornets,31 January 2018,08 February 2018,8,Sprained Left Ankle
Marquese Chriss,Suns,29 January 2018,31 January 2018,2,Sprained Left Ankle
Tyler Johnson,Heat,17 January 2018,27 January 2018,10,Sprained Left Ankle
DeAndre Jordan,Clippers,13 January 2018,24 January 2018,11,Sprained Left Ankle
Brandon Ingram,Lakers,19 January 2018,21 January 2018,2,Sprained Left Ankle
