name,year_end,position,height,weight,birth_date
Courtney Lee,2018,G,6-5,200,1985
David Lee,2017,F,6-9,245,1983
Malcolm Lee,2015,G,6-5,200,1990
Alex Len,2018,C,7-1,260,1993
Kawhi Leonard,2018,F,6-7,230,1991
Meyers Leonard,2018,C-F,7-1,245,1992
Travis Leslie,2012,G,6-4,205,1990
Jon Leuer,2018,F,6-10,228,1989
Caris LeVert,2018,G-F,6-7,203,1994
Rashard Lewis,2014,F,6-10,215,1979
DeAndre Liggins,2018,G,6-6,209,1988
Damian Lillard,2018,G,6-3,195,1990
Jeremy Lin,2018,G,6-3,200,1988
Shaun Livingston,2018,G,6-7,192,1985
Shawn Long,2017,C-F,6-9,255,1993
Kevon Looney,2018,F-C,6-9,220,1996
Brook Lopez,2018,C,7-0,275,1988
Robin Lopez,2018,C,7-0,255,1988
Kevin Love,2018,F,6-10,251,1988
Kyle Lowry,2018,G,6-0,205,1986
Kalin Lucas,2015,G,6-1,195,1989
John Lucas III,2017,G,5-11,166,1982
Timothe Luwawu-Cabarrot,2018,F,6-6,205,1995
Tyler Lydon,2018,F,6-10,215,1996
Trey Lyles,2018,F,6-10,234,1995
Sheldon Mac,2017,G,6-5,200,1992
Scott Machado,2013,G,6-1,205,1990
Shelvin Mack,2018,G,6-3,203,1990
Vernon Macklin,2012,F,6-10,227,1986
Josh Magette,2018,G,6-1,160,1989
Corey Maggette,2013,F,6-6,218,1979
Jamaal Magloire,2012,C,6-11,259,1978
Ian Mahinmi,2018,C,6-11,250,1986
Thon Maker,2018,F-C,7-1,216,1997
Devyn Marble,2016,G-F,6-6,200,1992
Shawn Marion,2015,F,6-7,220,1978
Boban Marjanovic,2018,C,7-3,290,1988
Lauri Markkanen,2018,F,7-0,230,1997
Sean Marks,2011,F-C,6-10,250,1975
Kendall Marshall,2016,G,6-4,200,1991
Cartier Martin,2015,F,6-7,220,1984
Jarell Martin,2018,F,6-10,239,1994
Kenyon Martin,2015,F,6-9,234,1977
Kevin Martin,2016,G,6-7,199,1983
Desmond Mason,2010,F,6-7,224,1977
Frank Mason,2018,G,6-0,189,1994
Roger Mason,2014,G,6-5,200,1980
Mangok Mathiang,2018,C-F,6-10,230,1992
Wesley Matthews,2018,G,6-5,220,1986
Jason Maxiell,2015,F,6-7,260,1983
Sean May,2010,F,6-9,266,1984
Eric Maynor,2014,G,6-3,175,1987
O.J. Mayo,2016,G,6-5,210,1987
Luc Mbah a Moute,2018,F,6-8,230,1986
James Michael McAdoo,2018,F,6-9,230,1993
Ray McCallum,2016,G,6-3,190,1991
Patrick McCaw,2018,G,6-7,185,1995
C.J. McCollum,2018,G,6-3,190,1991
T.J. McConnell,2018,G,6-2,200,1992
Chris McCullough,2018,F,6-11,200,1995
K.J. McDaniels,2017,G-F,6-6,205,1993
Doug McDermott,2018,F,6-8,225,1992
Antonio McDyess,2011,F-C,6-9,220,1974
Mitch McGary,2016,F-C,6-10,255,1992
JaVale McGee,2018,C,7-0,270,1988
Tracy McGrady,2012,F-G,6-8,210,1979
Rodney McGruder,2017,G,6-4,205,1991
Dominic McGuire,2013,F,6-9,220,1985
Alfonzo McKinnie,2018,F,6-8,215,1992
Ben McLemore,2018,G,6-5,195,1993
Jerel McNeal,2015,G,6-3,200,1987
Jordan McRae,2017,G,6-6,185,1991
Josh McRoberts,2017,F,6-10,240,1987
Jodie Meeks,2018,G,6-4,210,1987
Salah Mejri,2018,C,7-1,245,1986
Gal Mekel,2015,G,6-3,191,1988
Fab Melo,2013,C,7-0,255,1990
Pops Mensah-Bonsu,2011,F,6-9,240,1983
Jordan Mickey,2018,F,6-8,235,1994
Khris Middleton,2018,F-G,6-8,234,1991
C.J. Miles,2018,G-F,6-6,225,1987
Darko Milicic,2013,F-C,7-0,250,1985
Andre Miller,2016,G,6-3,200,1976
Brad Miller,2012,C,6-11,244,1976
Darius Miller,2018,F,6-8,235,1990
Malcolm Miller,2018,F,6-7,210,1993
Mike Miller,2017,F-G,6-8,218,1980
Quincy Miller,2015,F,6-9,210,1992
Patty Mills,2018,G,6-0,185,1988
Elijah Millsap,2017,G-F,6-6,225,1987
Paul Millsap,2018,F,6-8,246,1985
Yao Ming,2011,C,7-6,310,1980
Nikola Mirotic,2018,F,6-10,220,1991
Donovan Mitchell,2018,G,6-3,211,1996
Tony Mitchell,2014,F,6-6,216,1989
Tony Mitchell,2014,F,6-8,235,1992
Nazr Mohammed,2016,C,6-10,221,1977
Malik Monk,2018,G,6-3,200,1998
Greg Monroe,2018,C-F,6-11,265,1990
Luis Montero,2016,G,6-7,185,1993
Jamario Moon,2012,F,6-8,205,1980
E'Twaun Moore,2018,G,6-4,191,1989
Mikki Moore,2012,C,6-11,225,1975
Eric Moreland,2018,F-C,6-10,238,1991
Darius Morris,2015,G,6-4,190,1991
Marcus Morris,2018,F,6-9,235,1989
Markieff Morris,2018,F,6-10,245,1989
Monte Morris,2018,G,6-3,175,1995
Randolph Morris,2010,C,6-10,266,1986
Adam Morrison,2010,F,6-8,205,1984
Anthony Morrow,2017,G,6-5,210,1985
Donatas Motiejunas,2017,F-C,7-0,222,1990
Johnathan Motley,2018,F,6-9,238,1995
Arnett Moultrie,2014,F,6-11,249,1990
Timofey Mozgov,2018,C,7-1,275,1986
Emmanuel Mudiay,2018,G,6-5,200,1996
Shabazz Muhammad,2018,F-G,6-6,223,1992
Byron Mullens,2014,C,7-0,275,1989
Xavier Munford,2016,G,6-2,180,1992
Erik Murphy,2014,F,6-10,230,1990
Kevin Murphy,2013,G,6-5,185,1990
Troy Murphy,2013,F-C,6-11,245,1980
Dejounte Murray,2018,G,6-5,170,1996
Jamal Murray,2018,G,6-4,207,1997
Ronald Murray,2010,G,6-4,190,1979
Toure' Murry,2015,G-F,6-5,195,1989
Mike Muscala,2018,F-C,6-11,240,1991
Hamady N'Diaye,2014,C,7-0,235,1987
Abdel Nader,2018,F,6-6,230,1993
Eduardo Najera,2012,F,6-8,240,1976
Larry Nance,2018,F,6-9,230,1993
Shabazz Napier,2018,G,6-1,175,1991
Steve Nash,2014,G,6-3,195,1974
Maurice Ndour,2017,F,6-9,200,1992
Gary Neal,2017,G,6-4,210,1984
Nemanja Nedovic,2014,G,6-3,192,1991
Jameer Nelson,2018,G,6-0,190,1982
Rasho Nesterovic,2010,C,7-0,248,1976
Raul Neto,2018,G,6-1,179,1992
Georges Niang,2017,F,6-8,230,1993
Andrew Nicholson,2017,F,6-9,250,1989
Joakim Noah,2018,C,6-11,230,1985
Andres Nocioni,2012,F,6-7,225,1979
Nerlens Noel,2018,C-F,6-11,228,1994
Lucas Nogueira,2018,C,7-0,241,1992
Steve Novak,2017,F,6-10,225,1983
Dirk Nowitzki,2018,F,7-0,245,1978
Frank Ntilikina,2018,G,6-5,190,1998
James Nunnally,2014,F,6-7,205,1990
Jusuf Nurkic,2018,C,7-0,280,1994
David Nwaba,2018,G,6-4,209,1993
J.J. O'Brien,2016,F,6-7,228,1992
Johnny O'Bryant,2018,F-C,6-9,257,1993
Patrick O'Bryant,2010,C,7-0,260,1986
Jermaine O'Neal,2014,F-C,6-11,226,1978
Shaquille O'Neal,2011,C,7-1,325,1972
Royce O'Neale,2018,F,6-6,215,1993
Kyle O'Quinn,2018,F-C,6-10,250,1990
Fabricio Oberto,2011,C-F,6-10,245,1975
Daniel Ochefu,2017,C,6-11,245,1993
Greg Oden,2014,C,7-0,250,1988
Lamar Odom,2013,F,6-10,220,1979
Tim Ohlbrecht,2013,C,6-11,255,1988
Semi Ojeleye,2018,F,6-7,241,1994
Emeka Okafor,2013,C-F,6-10,252,1982
Jahlil Okafor,2018,C-F,6-11,275,1995
Mehmet Okur,2012,C-F,6-11,249,1979
Victor Oladipo,2018,G,6-4,210,1992
Kevin Ollie,2010,G,6-4,195,1972
Kelly Olynyk,2018,C-F,7-0,238,1991
Arinze Onuaku,2017,C,6-9,255,1987
Chinanu Onuaku,2017,F-C,6-10,245,1996
Daniel Orton,2014,C-F,6-10,255,1990
Cedi Osman,2018,F,6-8,210,1995
Kelly Oubre,2018,F,6-7,205,1995
Travis Outlaw,2014,F,6-9,210,1984
Larry Owens,2012,F,6-7,210,1983
Zaza Pachulia,2018,C,6-11,270,1984
Marcus Paige,2018,G,6-1,175,1993
Georgios Papagiannis,2018,C,7-1,240,1997
Kostas Papanikolaou,2016,F,6-8,225,1990
Jannero Pargo,2015,G,6-1,175,1979
Jeremy Pargo,2013,G,6-2,219,1986
Anthony Parker,2012,G,6-6,215,1975
Jabari Parker,2017,F,6-8,250,1995
Tony Parker,2018,G,6-2,185,1982
Chandler Parsons,2018,F,6-10,230,1988
Lamar Patterson,2017,G-F,6-5,225,1991
Patrick Patterson,2018,F,6-9,230,1989
Brandon Paul,2018,G,6-4,200,1991
Chris Paul,2018,G,6-0,175,1985
Sasha Pavlovic,2013,G-F,6-8,220,1983
Adreian Payne,2018,F-C,6-10,237,1991
Cameron Payne,2017,G,6-3,185,1994
Elfrid Payton,2018,G,6-4,185,1994
Gary Payton,2018,G,6-3,190,1992
Oleksiy Pecherov,2010,C,7-0,232,1985
Nikola Pekovic,2016,C,6-11,307,1986
Kendrick Perkins,2016,C,6-10,270,1984
London Perrantes,2018,G,6-2,200,1994
Alec Peters,2018,F,6-9,232,1995
Morris Peterson,2011,F,6-7,218,1977
Johan Petro,2013,C,7-0,247,1986
Paul Pierce,2017,F-G,6-7,235,1977
Mickael Pietrus,2013,G-F,6-6,215,1982
Dexter Pittman,2014,C,6-11,308,1988
Tibor Pleiss,2016,C,7-3,256,1989
Marshall Plumlee,2017,C,7-0,250,1992
Mason Plumlee,2018,C-F,6-11,245,1990
Miles Plumlee,2018,C-F,6-11,249,1988
Jakob Poeltl,2018,C,7-0,248,1995
Quincy Pondexter,2018,G-F,6-7,220,1988
Otto Porter,2018,F,6-8,198,1993
Bobby Portis,2018,F,6-11,230,1995
Kristaps Porzingis,2018,F-C,7-3,240,1995
James Posey,2011,F-G,6-8,215,1977
Leon Powe,2011,F,6-8,240,1984
Dwight Powell,2018,F-C,6-11,240,1991
Josh Powell,2014,F,6-9,225,1983
Norman Powell,2018,G,6-4,215,1993
Alex Poythress,2018,F,6-7,238,1993
Phil Pressey,2016,G,5-11,175,1991
A.J. Price,2015,G,6-2,181,1986
Ronnie Price,2017,G,6-2,190,1983
Pablo Prigioni,2016,G,6-3,185,1977
Tayshaun Prince,2016,F,6-9,212,1980
Joel Przybilla,2013,C,7-1,255,1979
Jacob Pullen,2018,G,6-1,200,1989
Zhou Qi,2018,F-C,7-1,210,1996
Tim Quarterman,2017,G,6-6,195,1994
Chris Quinn,2013,G,6-2,185,1983
Ivan Rabb,2018,F,6-10,220,1997
Vladimir Radmanovic,2013,F,6-10,227,1980
Miroslav Raduljica,2015,C,7-0,250,1988
Chasson Randle,2017,G,6-2,185,1993
Julius Randle,2018,F-C,6-9,250,1994
Anthony Randolph,2014,F,6-10,205,1989
Shavlik Randolph,2015,F,6-10,240,1983
Zach Randolph,2018,F-C,6-9,260,1981
Theo Ratliff,2011,C-F,6-10,225,1973
Andy Rautins,2011,G,6-4,190,1986
Michael Redd,2012,G,6-6,220,1979
J.J. Redick,2018,G,6-4,190,1984
Willie Reed,2018,F-C,6-10,220,1990
Ryan Reid,2012,F,6-8,232,1986
Glen Rice,2015,G,6-6,206,1991
Chris Richard,2010,F,6-9,270,1984
Jason Richardson,2015,G,6-6,220,1981
Josh Richardson,2018,G,6-6,200,1993
Malachi Richardson,2018,G,6-6,205,1996
Quentin Richardson,2013,G,6-6,223,1980
Luke Ridnour,2015,G,6-2,175,1981
Austin Rivers,2018,G,6-4,200,1992
Andre Roberson,2018,G-F,6-7,210,1991
Brian Roberts,2017,G,6-1,173,1985
Glenn Robinson,2017,G-F,6-6,222,1994
Nate Robinson,2016,G,5-9,180,1984
Thomas Robinson,2017,F,6-10,237,1991
Sergio Rodriguez,2017,G,6-3,176,1986
Rajon Rondo,2018,G,6-1,186,1986
Derrick Rose,2018,G,6-3,190,1988
Quinton Ross,2011,G,6-6,195,1981
Terrence Ross,2018,F-G,6-7,206,1991
Brandon Roy,2013,G,6-6,215,1984
Terry Rozier,2018,G,6-2,190,1994
Ricky Rubio,2018,G,6-4,194,1990
Damjan Rudez,2017,F,6-10,228,1986
Brandon Rush,2017,G-F,6-6,220,1985
Kareem Rush,2010,G,6-6,215,1980
D'Angelo Russell,2018,G,6-5,195,1996
Walker Russell,2012,G,6-0,170,1982
Domantas Sabonis,2018,F-C,6-11,240,1996
Robert Sacre,2016,C,7-0,270,1989
John Salmons,2015,G,6-7,210,1979
JaKarr Sampson,2018,G-F,6-9,214,1993
Samardo Samuels,2013,F,6-9,260,1989
Larry Sanders,2017,C-F,6-11,235,1988
Dario Saric,2018,F,6-10,223,1994
Tomas Satoransky,2018,G,6-7,210,1991
Brian Scalabrine,2012,F,6-9,241,1978
Dennis Schroder,2018,G,6-1,172,1993
Luis Scola,2017,F,6-9,240,1980
Mike Scott,2018,F,6-8,237,1988
Thabo Sefolosha,2018,G-F,6-7,220,1984
Josh Selby,2013,G,6-2,183,1991
Wayne Selden,2018,G-F,6-5,230,1994
Kevin Seraphin,2017,F,6-9,285,1989
Ramon Sessions,2018,G,6-3,190,1986
Mustafa Shakur,2014,G,6-3,190,1984
Tornike Shengelia,2014,F,6-9,217,1991
Iman Shumpert,2018,G,6-5,220,1990
Alexey Shved,2015,G,6-6,190,1988
Pascal Siakam,2018,F,6-9,230,1994
Xavier Silas,2012,G,6-5,205,1988
Garret Siler,2011,C,6-11,305,1986
Ben Simmons,2018,G-F,6-10,230,1996
Bobby Simmons,2012,G-F,6-7,210,1980
Jonathon Simmons,2018,G-F,6-6,195,1989
Kobi Simmons,2018,G,6-5,166,1997
Henry Sims,2016,C,6-10,248,1990
Kyle Singler,2018,F,6-8,228,1988
Chris Singleton,2014,F,6-8,230,1989
James Singleton,2012,F,6-8,216,1981
Peyton Siva,2014,G,6-0,185,1990
Brian Skinner,2012,F,6-9,255,1976
Donald Sloan,2016,G,6-3,205,1988
Marcus Smart,2018,G,6-4,220,1994
Chris Smith,2014,G,6-2,200,1987
Craig Smith,2012,F,6-7,250,1983
Dennis Smith,2018,G,6-3,195,1997
Greg Smith,2016,C,6-10,250,1991
Ish Smith,2018,G,6-0,175,1988
J.R. Smith,2018,G-F,6-6,225,1985
Jason Smith,2018,F-C,7-0,245,1986
Jerry Smith,2012,G,6-2,190,1987
Joe Smith,2011,F,6-10,225,1975
Josh Smith,2018,F,6-9,225,1985
Nolan Smith,2013,G,6-2,185,1988
Russ Smith,2016,G,6-0,165,1991
Tony Snell,2018,G-F,6-7,200,1991
Darius Songaila,2011,F,6-9,248,1978
James Southerland,2014,F,6-8,215,1990
Marreese Speights,2018,C-F,6-10,255,1987
Tiago Splitter,2017,F-C,6-11,245,1985
Jerry Stackhouse,2013,G-F,6-6,218,1974
Nik Stauskas,2018,G,6-6,205,1993
D.J. Stephens,2014,G-F,6-5,188,1990
Lance Stephenson,2018,G-F,6-5,230,1990
Alex Stepheson,2016,F,6-10,270,1987
DeShawn Stevenson,2013,G,6-5,210,1981
Greg Stiemsma,2015,C,6-11,260,1985
David Stockton,2015,G,5-11,165,1991
Peja Stojakovic,2011,F-G,6-9,220,1977
Jarnell Stokes,2017,F-C,6-9,263,1994
Diamond Stone,2017,C,6-11,255,1997
Julyan Stone,2018,G,6-6,200,1988
Amar'e Stoudemire,2016,F-C,6-10,245,1982
Rodney Stuckey,2017,G,6-5,210,1986
Jared Sullinger,2017,F,6-9,260,1992
DaJuan Summers,2013,F,6-8,230,1988
Caleb Swanigan,2018,F,6-8,250,1997
Pape Sy,2011,F,6-7,225,1988
Jayson Tatum,2018,F,6-8,205,1998
Edy Tavares,2017,C,7-3,260,1992
Isaiah Taylor,2018,G,6-3,170,1994
Jeffery Taylor,2015,F,6-7,225,1989
Jermaine Taylor,2011,G,6-4,210,1986
Tyshawn Taylor,2014,G,6-3,185,1990
Jeff Teague,2018,G,6-2,186,1988
Marquis Teague,2014,G,6-2,189,1993
Mirza Teletovic,2018,F,6-9,242,1985
Sebastian Telfair,2015,G,6-0,165,1985
Garrett Temple,2018,G,6-6,195,1986
Milos Teodosic,2018,G,6-5,196,1987
Jason Terry,2018,G,6-2,185,1977
Hasheem Thabeet,2014,C,7-3,263,1987
Daniel Theis,2018,C,6-9,215,1992
Adonis Thomas,2014,F,6-7,200,1993
Etan Thomas,2011,F,6-9,256,1978
Isaiah Thomas,2017,G,5-9,185,1989
Kenny Thomas,2010,F,6-7,261,1977
Kurt Thomas,2013,F,6-9,230,1972
Lance Thomas,2018,F,6-8,235,1988
Malcolm Thomas,2015,F,6-9,225,1988
Tim Thomas,2010,F,6-10,230,1977
Tyrus Thomas,2015,F,6-9,215,1986
Trey Thompkins,2012,F,6-10,245,1990
Hollis Thompson,2017,G-F,6-8,206,1991
Jason Thompson,2016,F-C,6-11,250,1986
Klay Thompson,2018,G-F,6-7,215,1990
Mychel Thompson,2012,G,6-6,211,1988
Tristan Thompson,2018,F-C,6-9,238,1991
Al Thornton,2011,F,6-8,220,1983
Marcus Thornton,2017,G,6-4,205,1987
Sindarius Thornwell,2018,G,6-5,212,1994
Jamaal Tinsley,2014,G,6-3,195,1978
Mike Tobey,2017,C,7-0,260,1994
Anthony Tolliver,2018,F-C,6-8,240,1985
Axel Toupane,2017,G-F,6-7,197,1992
Karl-Anthony Towns,2018,C-F,7-0,244,1995
Alando Tucker,2010,F,6-6,205,1984
P.J. Tucker,2018,F,6-6,245,1985
Ronny Turiaf,2015,F,6-10,249,1983
Hedo Turkoglu,2015,F,6-10,220,1979
Evan Turner,2018,G,6-7,220,1988
Myles Turner,2018,C-F,6-11,243,1996
Jeremy Tyler,2014,C,6-10,260,1991
Edwin Ubiles,2012,G,6-6,204,1986
Ekpe Udoh,2018,C-F,6-10,240,1987
Ime Udoka,2011,F,6-6,215,1977
Beno Udrih,2017,G,6-3,205,1982
Roko Ukic,2010,G,6-5,183,1984
Tyler Ulis,2018,G,5-10,150,1996
Jarrod Uthoff,2017,F,6-9,221,1993
Ben Uzoh,2012,G,6-3,205,1988
Jonas Valanciunas,2018,C,7-0,265,1992
Denzel Valentine,2018,G,6-6,212,1993
Fred VanVleet,2018,G,6-0,195,1994
Anderson Varejao,2017,F-C,6-10,273,1982
Jarvis Varnado,2014,F,6-9,230,1988
Greivis Vasquez,2017,G,6-6,217,1987
Rashad Vaughn,2018,G,6-6,202,1996
Jan Vesely,2014,F,6-11,240,1990
Charlie Villanueva,2016,F,6-11,232,1984
Noah Vonleh,2018,F,6-10,240,1995
Nikola Vucevic,2018,C,7-0,260,1990
Sasha Vujacic,2017,G,6-7,195,1984
Dwyane Wade,2018,G,6-4,220,1982
Von Wafer,2012,G,6-5,210,1985
Dion Waiters,2018,G,6-4,225,1991
Henry Walker,2015,F,6-6,220,1987
Kemba Walker,2018,G,6-1,172,1990
John Wall,2018,G,6-4,195,1990
Ben Wallace,2012,F-C,6-9,240,1974
Gerald Wallace,2015,F,6-7,215,1982
Rasheed Wallace,2013,F-C,6-10,225,1974
Taurean Waller-Prince,2018,F,6-8,220,1994
Derrick Walton,2018,G,6-1,189,1995
Luke Walton,2013,F,6-8,235,1980
Casper Ware,2014,G,5-10,175,1990
T.J. Warren,2018,F,6-8,230,1993
Willie Warren,2011,G,6-4,203,1989
Hakim Warrick,2013,F,6-9,219,1982
Darryl Watkins,2012,C,6-11,258,1984
C.J. Watson,2017,G,6-2,175,1984
Earl Watson,2014,G,6-1,195,1979
Maalik Wayns,2014,G,6-2,200,1991
David Wear,2015,F,6-10,230,1990
Travis Wear,2015,F,6-10,230,1990
Kyle Weaver,2011,G,6-6,201,1986
Briante Weber,2018,G,6-2,165,1992
Martell Webster,2015,G-F,6-7,230,1986
Sonny Weems,2016,G-F,6-6,205,1986
David West,2018,F,6-9,250,1980
Delonte West,2012,G,6-4,180,1983
Mario West,2011,G,6-5,210,1984
Russell Westbrook,2018,G,6-3,200,1988
D.J. White,2014,F,6-9,251,1986
Derrick White,2018,G,6-5,190,1994
James White,2013,G-F,6-7,200,1982
Okaro White,2018,F,6-8,204,1992
Royce White,2014,F,6-8,270,1991
Isaiah Whitehead,2018,G,6-4,213,1995
Hassan Whiteside,2018,C,7-0,265,1989
Shayne Whittington,2016,F-C,6-11,250,1991
Andrew Wiggins,2018,F-G,6-8,199,1995
C.J. Wilcox,2017,G,6-5,195,1990
Chris Wilcox,2013,F,6-10,221,1982
Jacob Wiley,2018,F,6-7,215,1994
Damien Wilkins,2018,F-G,6-6,225,1980
Mike Wilks,2010,G,5-10,185,1979
Alan Williams,2017,F-C,6-8,260,1993
C.J. Williams,2018,G,6-5,225,1990
Deron Williams,2017,G,6-3,200,1984
Derrick Williams,2017,F,6-8,240,1991
Elliot Williams,2016,G,6-5,190,1989
Jason Williams,2011,G,6-1,190,1975
Jawad Williams,2011,F,6-9,218,1983
Jordan Williams,2012,F,6-10,260,1990
Lou Williams,2018,G,6-1,175,1986
Marcus Williams,2010,G,6-3,205,1985
Marvin Williams,2018,F,6-9,237,1986
Matt Williams,2018,G,6-5,210,1993
Mo Williams,2016,G,6-1,198,1982
Reggie Williams,2017,F,6-6,205,1986
Sean Williams,2012,C-F,6-10,235,1986
Shawne Williams,2015,F,6-9,225,1986
Shelden Williams,2012,F,6-9,250,1983
Terrence Williams,2013,F,6-6,220,1987
Troy Williams,2018,F,6-7,218,1994
D.J. Wilson,2018,F,6-10,234,1996
Jamil Wilson,2018,F,6-7,230,1990
Kyle Wiltjer,2017,F,6-10,240,1992
Justise Winslow,2018,F,6-7,225,1996
Jeff Withey,2018,C,7-0,231,1990
Nate Wolters,2018,G,6-4,190,1991
Christian Wood,2017,F,6-11,220,1995
Metta World Peace,2017,F,6-6,260,1979
Antoine Wright,2011,G-F,6-7,210,1984
Brandan Wright,2018,F-C,6-10,210,1987
Chris Wright,2014,F,6-8,226,1988
Chris Wright,2013,G,6-1,210,1989
Delon Wright,2018,G,6-5,183,1992
Dorell Wright,2015,F-G,6-9,205,1985
Julian Wright,2011,F,6-8,225,1987
Tony Wroten,2016,G,6-6,205,1993
Guerschon Yabusele,2018,F,6-7,260,1995
James Young,2017,G-F,6-6,215,1995
Joe Young,2018,G,6-2,180,1992
Nick Young,2018,G-F,6-7,210,1985
Sam Young,2013,F,6-6,220,1985
Thaddeus Young,2018,F,6-8,221,1988
Cody Zeller,2018,C-F,7-0,240,1992
Luke Zeller,2013,C,6-11,245,1987
Tyler Zeller,2018,F-C,7-0,253,1990
Stephen Zimmerman,2017,C,7-0,240,1996
Paul Zipser,2018,G-F,6-8,215,1994
Ante Zizic,2018,F-C,6-11,250,1997
Ivica Zubac,2018,C,7-1,265,1997
